"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"아파트","경기",경부2권,용인,처인,68.1063468,68.10467429,68.20490522,68.19723176,68.24806064,68.38464838
"아파트","제주",서귀포,소계,소계,68.09052577,68.0816982,68.11768364,68.12578366,68.15123627,68.194868
"연립다세대","6대광역시",소계,소계,소계,68.03091125,68.06317708,68.08405871,68.11364856,68.15272235,68.23611283
"연립다세대","서울",강북권역,소계,소계,67.96692263,67.6945554,67.49940279,67.23820196,67.08968652,67.01046246
"아파트","인천",소계,소계,소계,67.96611667,68.09878055,68.24305141,68.33553593,68.55601871,68.79352848
"연립다세대","경기",서해안권,소계,소계,67.8304841,67.93126554,67.92522295,67.88840535,67.9517432,68.06951849
"연립다세대","서울",소계,소계,소계,67.80705867,67.46551633,67.17972446,66.94681705,66.82063296,66.74327103
"종합","충남",소계,소계,소계,67.75793898,67.78627277,67.86603493,68.2120104,68.32546869,68.37000847
"종합","경기",동부1권,소계,소계,67.75533735,67.8398472,67.88049504,67.83497095,67.95959202,68.05937023
"연립다세대","서울",강남권역,소계,소계,67.6568066,67.25024832,66.87926691,66.67242049,66.56726579,66.49165741
"아파트","부산",서부산권,강서,소계,67.6333208,67.68058915,67.87691669,68.06932637,68.34569142,68.62691778
"연립다세대","경기",경부1권,소계,소계,67.58306367,67.53963666,67.45817213,67.34443941,67.34557955,67.29562641
"아파트","부산",중부산권,소계,소계,67.54937139,67.72107952,67.84688398,68.16076456,68.51090118,68.77585672
"아파트","부산",소계,소계,소계,67.49905719,67.68204396,67.84139338,68.10672648,68.41341743,68.62528823
"아파트","부산",동부산권,금정,소계,67.49037375,67.74800098,68.07459938,68.39188964,69.00241357,69.4139416
"종합","전북",소계,소계,소계,67.4678769,67.37263213,67.33692951,67.74680604,67.83942417,67.87827343
"아파트","경기",서해안권,부천,원미,67.46388394,67.50843033,67.47325494,67.42707741,67.4493609,67.44360948
"종합","강원",소계,소계,소계,67.4346221,67.41520732,67.39778372,67.57324249,67.6232235,67.59937964
"아파트","경기",경부2권,용인,기흥,67.34497601,67.34938143,67.19087576,66.99496892,67.24184309,67.30510058
"종합","경기",경원권,소계,소계,67.30555499,67.40110351,67.59465842,67.93824981,68.06044321,68.3114129
"연립다세대","서울",강북권역,서북권,소계,67.15854006,66.90382697,66.72168025,66.50818603,66.45996104,66.41375559
"연립다세대","제주",소계,소계,소계,67.00638628,67.00375319,67.02773329,67.06507346,67.07517509,67.08112427
"종합","6대광역시",소계,소계,소계,66.98586638,67.07445417,67.17899076,67.77580723,67.94874685,68.10878259
"연립다세대","지방",소계,소계,소계,66.90969729,66.94090581,66.98891261,67.01852198,67.05926144,67.10018245
"종합","경기",동부2권,소계,소계,66.79127892,66.78614293,66.79549445,67.03937018,67.12295934,67.11534499
"아파트","경기",서해안권,부천,소사,66.68779409,66.65114839,66.67813946,66.71219254,66.71915551,66.68278297
"종합","5대광역시",소계,소계,소계,66.59057196,66.6780688,66.79039251,67.52999216,67.70863269,67.85880836
"종합","8개도",소계,소계,소계,66.57381747,66.59526523,66.64787975,66.95669024,67.01690924,67.062617
"종합","대전",소계,소계,소계,66.55162716,66.650398,66.8035912,67.51379008,67.62627008,67.73751061
"연립다세대","서울",강남권역,동남권,소계,66.51076441,66.10638164,65.70687381,65.51344177,65.4809548,65.44144812
"아파트","경기",서해안권,부천,소계,66.4624085,66.56184089,66.59279368,66.60091376,66.61842355,66.62556005
"연립다세대","전북",소계,소계,소계,66.40976444,66.36943776,66.3425144,66.35281577,66.35676679,66.36066372
"아파트","충남",예산,소계,소계,66.39047744,66.65942471,66.87902838,67.17660201,67.55976204,67.84111658
"종합","지방",소계,소계,소계,66.30426769,66.35898249,66.43931379,66.90742253,67.01680351,67.10552689
"아파트","경기",경부1권,안양,만안,66.3029449,66.42190789,66.3549471,66.11927904,66.2065915,66.18585664
"아파트","경기",경부1권,군포,소계,66.19022333,66.13988114,66.03154911,66.01108647,66.2658331,66.37841048
"아파트","경기",소계,소계,소계,66.01914522,66.09704243,66.18609106,66.28291164,66.45212861,66.64684414
"아파트","경기",경부2권,수원,권선,65.97752263,65.80397711,66.20085714,66.14997697,66.40931585,66.45330841
"종합","9개도",소계,소계,소계,65.88205631,65.92087417,65.98166423,66.24046273,66.33174805,66.42568684
"아파트","제주",소계,소계,소계,65.6051883,65.60318154,65.60465755,65.6028743,65.82714603,65.85384349
"아파트","경기",경부2권,용인,소계,65.57512703,65.4864132,65.15838996,64.82221416,64.76568744,64.78037468
"아파트","경기",서해안권,시흥,소계,65.49732594,65.6455301,65.84236926,66.07910934,66.18239217,66.48141423
"연립다세대","5대광역시",소계,소계,소계,65.49607504,65.53669106,65.60214259,65.65292692,65.70685493,65.78287187
